,first_name,last_name,age,email,salary,join_date
0,Quincy,White,33.0,beatrice@example.com,64642.0,07-08-2022
1,Xena,Rodriguez,28.0,quincy@example.com,96273.0,03-09-2021
2,Leo,Smith,56.0,charlie@example.com,117527.0,07-07-2023
3,Jack,Allen,33.0,vera@example.com,54033.0,02-12-2021
4,Charlie,Taylor,38.0,quinn@example.com,30837.0,05-12-2023
5,Charlie,Miller,55.0,steve@example.com,60876.0,15-06-2023
6,Steve,Walker,unknown age,olivia@example.com,78191.0,10-11-2021
7,Uma,Walker,19.0,ulysses@example.com,44596.0,08-11-2020
8,Catherine,Miller,37.0,quinn@example.com,80422.0,03-10-2020
9,Jack,Miller,50.0,isaac@example.com,41174.0,09-07-2022
10,Tara,Clark,43.0,tina@example.com,115977.0,15-04-2020
11,Beatrice,King,40.0,steve@example.com,61174.0,31-10-2022
12,Eve,Wright,21.0,rachel@example.com,106018.0,18-07-2023
13,Wendy,King,51.0,hannah@example.com,55580.0,04-01-2021
14,Kevin,Hall,43.0,henry@example.com,60701.0,12-02-2021
15,Paul,Miller,24.0,nate@example.com,50492.0,11-03-2021
16,Mia,Thomas,51.0,uma@example.com,37724.0,08-05-2020
17,Uma,Torres,27.0,rosa@example.com,95236.0,04-07-2021
18,Isaac,Martin,54.0,quincy@example.com,117202.0,21-10-2021
19,Isaac,Williams,30.0,alice@example.com,43020.0,13-05-2022
20,Uma,White,19.0,xena@example.com,114294.0,27-11-2020
21,Isaac,Garcia,49.0,olivia@example.com,118806.0,06-06-2023
22,Ulysses,Martin,24.0,grace@example.com,109957.0,06-02-2023
23,Ulysses,Flores,43.0,unknown@example.com,44548.0,06-09-2022
24,Xena,Miller,38.0,liam@example.com,108307.0,24-11-2022
25,Eve,Williams,38.0,victor@example.com,95167.0,03-12-2021
26,David,Allen,31.0,tina@example.com,52227.0,07-04-2023
27,Bob,Baker,43.0,xena@example.com,76864.0,26-04-2021
28,Quincy,Torres,47.0,gina@example.com,105636.0,01-11-2022
29,Leo,Hill,63.0,charlie@example.com,unknown salary,11-11-2023
30,Ella,Green,26.0,paul@example.com,113764.0,23-03-2023
31,Ivy,Scott,31.0,henry@example.com,42837.0,31-10-2022
32,Eve,Nguyen,42.0,yasmine@example.com,61279.0,22-12-2022
33,Bob,Adams,33.0,quinn@example.com,113345.0,10-05-2022
34,Beatrice,Martinez,54.0,rachel@example.com,101786.0,15-05-2022
35,Isaac,Miller,32.0,catherine@example.com,82976.0,26-02-2020
36,Ivy,Jones,50.0,tina@example.com,79274.0,14-05-2022
37,Leo,Mitchell,34.0,unknown@example.com,60885.0,25-03-2023
38,Leo,Allen,44.0,nate@example.com,31883.0,unknown date
39,Alice,Adams,unknown age,maya@example.com,56218.0,06-05-2021
40,Mia,Mitchell,28.0,piper@example.com,115644.0,27-12-2021
41,Liam,Miller,52.0,uma@example.com,73308.0,13-11-2023
42,Kevin,Rivera,44.0,grace@example.com,98155.0,10-05-2020
43,Rachel,Walker,unknown age,isaac@example.com,49932.0,23-12-2020
44,Charlie,Davis,23.0,ella@example.com,unknown salary,14-07-2022
45,Catherine,Thomas,49.0,isaac@example.com,48158.0,19-05-2023
46,Charlie,Campbell,unknown age,steve@example.com,70646.0,21-11-2021
47,Bob,Flores,56.0,catherine@example.com,79548.0,15-07-2020
48,Tara,Thompson,24.0,aaron@example.com,94828.0,16-12-2023
49,Walter,Davis,43.0,uma@example.com,72366.0,05-01-2022
50,Quincy,White,27.0,alice@example.com,85119.0,25-08-2023
51,Charlie,Johnson,30.0,xena@example.com,81358.0,19-11-2021
52,Paul,Miller,55.0,kevin@example.com,87217.0,27-11-2021
53,Hannah,Martin,57.0,bob@example.com,34623.0,08-12-2023
54,Xander,Allen,38.0,ulysses@example.com,80631.0,07-03-2020
55,Leo,Miller,45.0,alice@example.com,45895.0,26-09-2023
56,Bob,Johnson,unknown age,bob@example.com,117438.0,25-03-2022
57,Quinn,Garcia,53.0,noah@example.com,71371.0,19-11-2021
58,Zoe,King,19.0,walter@example.com,77136.0,26-08-2023
59,Steve,White,41.0,rosa@example.com,30390.0,06-06-2022
60,Hannah,Clark,43.0,yara@example.com,115106.0,20-02-2020
61,Jack,Miller,63.0,kevin@example.com,77015.0,05-09-2021
62,Isaac,Allen,34.0,unknown@example.com,38217.0,10-11-2020
63,Frank,Martinez,54.0,felix@example.com,104322.0,30-11-2020
64,Tara,Wilson,21.0,gina@example.com,32277.0,02-03-2021
65,Eve,Moore,33.0,charlie@example.com,108482.0,14-08-2022
66,Jack,White,56.0,charlie@example.com,92468.0,08-01-2022
67,Maya,Lee,52.0,yara@example.com,40676.0,25-09-2021
68,Henry,Wilson,54.0,vera@example.com,88195.0,unknown date
69,Maya,Rivera,44.0,david@example.com,37093.0,07-04-2020
70,Jack,Campbell,20.0,hannah@example.com,95492.0,19-11-2021
71,Mia,Brown,60.0,victor@example.com,117359.0,22-09-2022
72,Quincy,Adams,53.0,zoe@example.com,104177.0,07-07-2023
73,Felix,Adams,37.0,rachel@example.com,91810.0,22-02-2021
74,Nate,Harris,37.0,henry@example.com,79620.0,27-12-2023
75,Alice,Wilson,27.0,samuel@example.com,108775.0,21-01-2023
76,Tara,Rivera,34.0,kevin@example.com,94689.0,20-05-2023
77,Henry,Flores,58.0,ulysses@example.com,100370.0,unknown date
78,Paul,Rivera,39.0,yara@example.com,61589.0,08-06-2020
79,Victor,Flores,47.0,isaac@example.com,108462.0,25-10-2021
80,Vera,Martinez,46.0,owen@example.com,70530.0,22-05-2020
81,Daniel,Adams,42.0,julia@example.com,48681.0,07-05-2021
82,Uma,Garcia,59.0,paul@example.com,53984.0,19-01-2020
83,Tara,Jackson,29.0,xander@example.com,75612.0,27-09-2021
84,Jack,Thompson,37.0,owen@example.com,66617.0,26-12-2021
85,Ulysses,Davis,29.0,ulysses@example.com,56168.0,10-09-2020
86,Vera,Harris,43.0,samuel@example.com,66256.0,unknown date
87,Paul,Baker,63.0,julia@example.com,68661.0,24-12-2020
88,Aaron,Robinson,63.0,xander@example.com,35507.0,unknown date
89,Xander,Martinez,57.0,zoe@example.com,103071.0,29-06-2022
90,Felix,Torres,33.0,mia@example.com,97985.0,02-01-2021
91,Noah,Scott,21.0,unknown@example.com,117293.0,04-03-2020
